"sourceClassName","targetClassName","relationType","description"
"DIM_MATERIAL","DWD_MATERIAL","RELATED_TO","同一物料在维度层与业务明细层"
"DIM_SUPPLIER","DWD_SUPPLIER","RELATED_TO","同一供应商在维度层与业务明细层"
"DIM_FACILITY","DWD_FACILITY","RELATED_TO","同一工厂在维度层与业务明细层"
"DWD_BUSINESS_PARTNER","DWD_SUPPLIER","RELATED_TO","通用伙伴主数据与供应商类型主数据对应（PARTNER_CODE）"
"DWD_BUSINESS_PARTNER","DWD_CUSTOMER","RELATED_TO","通用伙伴主数据与客户类型主数据对应（PARTNER_CODE）"
"DWD_BUSINESS_PARTNER","DWD_CARRIER","RELATED_TO","通用伙伴主数据与承运商类型主数据对应（PARTNER_CODE）"
"DWD_CUSTOMER","DWD_SUPPLIER","RELATED_TO","客户主数据关联兼供货的供应商（DWD_CUSTOMER.SUPPLIER_CODE）"
"DWD_MATERIAL","DWD_ITEM_FACILITY","RELATED_TO","物料在各工厂的物料-工厂视图（MATERIAL_CODE+FACILITY_CODE）"
"DWD_FACILITY","DWD_ITEM_FACILITY","RELATED_TO","工厂包含其物料-工厂库存/计划视图"
"DWD_MATERIAL","DWD_ROUTING_OPERATION","RELATED_TO","物料对应工艺路线工序（MATERIAL_CODE）"
"DWD_MATERIAL","DWD_BOM","RELATED_TO","物料作为 BOM 主料（MATERIAL_CODE）"
"ADS_SUPPLIER_360","DWD_SUPPLIER","RELATED_TO","360 视图主体为供应商（SUPPLIER_CODE/SUPPLIER_KEY）"
"DWD_PURCHASE_REQUISITION_LINE","DWD_REQUISITION_ORDER_LINK","CONTAINS","请购行的采购映射行，键 REQUISITION_NO/REQUISITION_LINE_NO"
"DWD_SUPPLIER_PRICE_LIST_HEADER","DWD_SUPPLIER_PRICE_LIST_CONFIG","CONTAINS","价格表多准则配置归属表头，键 PRICE_LIST_CODE"
